title,description,country,type,nodays,price,imgname
Singapore with Universal Studios,NA,Singapore,CUSTOMIZED HOLIDAYS,5,"?61,324.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shsg2/shsg2-thb.jpg
Sri Lankan Explorer,NA,Sri Lanka,CUSTOMIZED HOLIDAYS,7,"?61,429.00",https://img.veenaworld.com/customized-holidays/world/sri-lanka/shsl3/shsl3-thb-shsl3-18122021.jpg
Classic Vietnam,NA,Vietnam,CUSTOMIZED HOLIDAYS,7,"?62,727.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shvn4/ammie-ngo-vcu-ozbxxrk-unsplash--1--shvn4-1752022.jpg
Gold Coast City Break,NA,Australia,CUSTOMIZED HOLIDAYS,4,"?62,777.00",https://img.veenaworld.com/customized-holidays/world/australia/shau5/shau5-thb.jpg
Dubai with Miracle Garden,NA,UAE,CUSTOMIZED HOLIDAYS,6,"?62,850.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz31/thb-shdz31-31102023.jpg
Amazing Bhutan,NA,Bhutan,CUSTOMIZED HOLIDAYS,8,"?66,000.00",https://img.veenaworld.com/customized-holidays/world/bhutan/shbt1/shbt1-thb.jpg
Singapore Family Fun,NA,Singapore,CUSTOMIZED HOLIDAYS,5,"?66,599.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shsg11/shsg11-thb.jpg
Dubai Extravaganza,NA,UAE,CUSTOMIZED HOLIDAYS,6,"?66,659.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz5/shdz9-thb.jpg
Abu Dhabi Getaway,NA,UAE,CUSTOMIZED HOLIDAYS,4,"?67,525.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz7/shdz7-thb.jpg
Mauritius with Anelia Resort & Spa,NA,Mauritius,CUSTOMIZED HOLIDAYS,7,"?71,086.00",https://img.veenaworld.com/customized-holidays/world/mauritius/shmu14/shmu14-thb.jpg
Seoul Getaway,NA,South Korea,CUSTOMIZED HOLIDAYS,5,"?72,677.00",https://img.veenaworld.com/customized-holidays/world/japan-china-korea-taiwan/shkr9/thb-shkr9-1562023.jpg
Best of Vietnam,NA,Vietnam,CUSTOMIZED HOLIDAYS,9,"?77,435.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shvn3/shvn3-thb.jpg
Ras Al Khaimah Escape,NA,UAE,CUSTOMIZED HOLIDAYS,4,"?77,868.00",
Munich and Surrounds,NA,Germany,CUSTOMIZED HOLIDAYS,5,"?79,645.00",https://img.veenaworld.com/customized-holidays/world/europe/shge8/thb.jpg
Discover Georgia,NA,Georgia,CUSTOMIZED HOLIDAYS,5,"?81,329.00",https://img.veenaworld.com/customized-holidays/world/europe/shgo2/thb-shgo2-582024.jpg
Jeju Island Getaway,NA,South Korea,CUSTOMIZED HOLIDAYS,4,"?81,761.00",https://img.veenaworld.com/customized-holidays/world/japan-china-korea-taiwan/shkr3/shkr3-thb.jpg
Dubai with Ras Al Khaimah,NA,UAE,CUSTOMIZED HOLIDAYS,6,"?82,194.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz36/thb-shdz36-1972024.jpg
Kandima Maldives Air Inclusive,NA,Maldives,CUSTOMIZED HOLIDAYS,4,"?83,924.00",https://img.veenaworld.com/customized-holidays/world/maldives/shml37/kadima-thb-SHML37-582024.jpg
Dubai with Abu Dhabi,NA,UAE,CUSTOMIZED HOLIDAYS,6,"?83,973.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz18/thb-shdz18-3122021.jpg
Best of Dubai,NA,UAE,CUSTOMIZED HOLIDAYS,7,"?83,973.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz34/thb-shdz34-1572024.jpg
Sydney Melbourne,NA,Australia,CUSTOMIZED HOLIDAYS,7,"?86,538.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau31/shau26-thb.jpg
Rome Florence Venice,NA,Italy,CUSTOMIZED HOLIDAYS,7,"?89,952.00",https://img.veenaworld.com/customized-holidays/world/europe/shit1/shit1-thb.jpg
Prague Vienna Budapest,NA,Austria,CUSTOMIZED HOLIDAYS,7,"?89,952.00",https://img.veenaworld.com/customized-holidays/world/europe/sheu6/thb-SHEU6-9112022.jpg
Seoul and Surrounds,NA,South Korea,CUSTOMIZED HOLIDAYS,6,"?92,144.00",https://img.veenaworld.com/customized-holidays/world/japan-china-korea-taiwan/shkr6/seoul-thb-shkr6-3092022.jpg
Malaysia Singapore,NA,Singapore,CUSTOMIZED HOLIDAYS,8,"?93,506.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shas14/shas10-thb-shas14-18102024.jpg
Ras Al Khaimah with Abu Dhabi,NA,UAE,CUSTOMIZED HOLIDAYS,6,"?94,307.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz37/thb-shdz37-1972024.jpg
Highlights of Chiang Mai Chiang Rai,NA,Thailand,CUSTOMIZED HOLIDAYS,7,"?94,307.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shth31/shth31-thb-SHTH31-15102024.jpg
Go Beyond Melbourne - Self Drive,NA,Australia,CUSTOMIZED HOLIDAYS,6,"?94,459.00",https://img.veenaworld.com/customized-holidays/world/australia/shau25/shau25-thb.jpg
Hamilton Island Getaway,NA,Australia,CUSTOMIZED HOLIDAYS,4,"?95,339.00",https://img.veenaworld.com/customized-holidays/world/australia/shau12/shau12-thb.jpg
Singapore with Sentosa Stay,NA,Singapore,CUSTOMIZED HOLIDAYS,6,"?96,932.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shsg12/shsg12-thb.jpg
Brisbane & Gold Coast adventure,NA,Australia,CUSTOMIZED HOLIDAYS,7,"?98,272.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau37/thb-shau37-2932024.jpg
Thermal Discovery - Seat in Coach,NA,New Zealand,CUSTOMIZED HOLIDAYS,5,"?98,880.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shnz28/thb-SHNZ28-2872023.jpg
Perth and Surrounds,NA,Australia,CUSTOMIZED HOLIDAYS,5,"?99,152.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau27/shau27-thb.jpg
Best of Portugal,NA,Portugal,CUSTOMIZED HOLIDAYS,7,"?99,322.00",https://img.veenaworld.com/customized-holidays/world/europe/shpt1/shpt1-thb.jpg
London and Surrounds,NA,UK,CUSTOMIZED HOLIDAYS,6,"?100,728.00",https://img.veenaworld.com/customized-holidays/world/europe/shuk1/shuk1-thb.jpg
Swiss Getaway,NA,Switzerland,CUSTOMIZED HOLIDAYS,5,"?101,196.00",https://img.veenaworld.com/customized-holidays/world/europe/shsw18/thb--1--shsw18-1642022.jpg
Sydney and Blue Mountains,NA,Australia,CUSTOMIZED HOLIDAYS,6,"?102,673.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau33/rev-thb-shau33-562023.jpg
Paris with Disneyland Stay,NA,France,CUSTOMIZED HOLIDAYS,6,"?103,070.00",https://img.veenaworld.com/customized-holidays/world/europe/shfr1/new-thb-shfr1-1612023.jpg
Cairns with Great Barrier Reef Self-Drive,NA,Australia,CUSTOMIZED HOLIDAYS,7,"?105,606.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau36/thb-shau36-2932024.jpg
Georgia with Batumi,NA,Georgia,CUSTOMIZED HOLIDAYS,6,"?105,987.00",https://img.veenaworld.com/customized-holidays/world/europe/shgo3/thb-shgo3-682024.jpg
Melbourne City Break,NA,Australia,CUSTOMIZED HOLIDAYS,6,"?106,193.00",https://img.veenaworld.com/customized-holidays/world/australia/shau24/shau24-thb.jpg
Romantic FIJI,NA,Fiji,CUSTOMIZED HOLIDAYS,5,"?110,313.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shfj4/shfj4-thb-shfj4-992023.jpg
Northern Splendour- Self Drive,NA,Australia,CUSTOMIZED HOLIDAYS,7,"?110,633.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shnz25/thb-shnz25-SHNZ25-12102022.jpg
Classic Oman,NA,Oman,CUSTOMIZED HOLIDAYS,6,"?112,476.00",https://img.veenaworld.com/customized-holidays/world/middle-east/shom4/shom4-thb-shom4-10102024.jpg
French Riviera,NA,France,CUSTOMIZED HOLIDAYS,6,"?121,810.00",https://img.veenaworld.com/customized-holidays/world/europe/shfr5/shfr5-thb.jpg
Copenhagen Oslo Stockholm,NA,Sweden,CUSTOMIZED HOLIDAYS,8,"?121,810.00",https://img.veenaworld.com/customized-holidays/world/europe/sheu41/thb-sheu41-2992023.jpg
Mauritius With Outrigger Resort,NA,Mauritius,CUSTOMIZED HOLIDAYS,7,"?126,728.00",https://img.veenaworld.com/customized-holidays/world/mauritius/shmu4/shmu4-thb.jpg
Great Southern Touring Route Self Drive,NA,Australia,CUSTOMIZED HOLIDAYS,7,"?127,901.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau32/thb-SHAU32-142023.jpg
Sydney to Byron Bay – Self Drive,NA,Australia,CUSTOMIZED HOLIDAYS,8,"?128,487.00",https://img.veenaworld.com/customized-holidays/world/australia/shau22/rev-thb-shau22-562023.jpg
New Zealand Splendid South – Seat in Coach,NA,New Zealand,CUSTOMIZED HOLIDAYS,7,"?128,582.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shnz29/thb-shnz29-2972023.jpg
Tokyo & Surrounds,NA,Japan,CUSTOMIZED HOLIDAYS,5,"?129,780.00",https://img.veenaworld.com/customized-holidays/world/japan-china-korea-taiwan/shjp7/shjp3-thb-shjp7-1692024.jpg
Maldives with Angsana Velavaru,NA,Maldives,CUSTOMIZED HOLIDAYS,4,"?130,645.00",https://img.veenaworld.com/customized-holidays/world/maldives/shml38/rev-shml38-thb-shml38-592024.jpg
Swiss Escape,NA,Switzerland,CUSTOMIZED HOLIDAYS,6,"?133,054.00",https://img.veenaworld.com/customized-holidays/world/europe/shsw1/shsw1-thb.jpg
England Scotland,NA,UK,CUSTOMIZED HOLIDAYS,7,"?133,991.00",https://img.veenaworld.com/customized-holidays/world/europe/shuk15/shuk15-thb.jpg
Highlights of Austria,NA,Austria,CUSTOMIZED HOLIDAYS,8,"?134,460.00",https://img.veenaworld.com/customized-holidays/world/europe/shat6/shat6-thb.jpg
Lakes & Glaciers - Self Drive,NA,Australia,CUSTOMIZED HOLIDAYS,9,"?138,037.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shnz26/thb-shnz26-SHNZ26-12102022.jpg
Germany with Black Forest,NA,Germany,CUSTOMIZED HOLIDAYS,7,"?140,550.00",https://img.veenaworld.com/customized-holidays/world/europe/shge6/thb.jpg
Switzerland with Glacier 3000,NA,Switzerland,CUSTOMIZED HOLIDAYS,7,"?143,361.00",https://img.veenaworld.com/customized-holidays/world/europe/shsw2/THB-shutterstock_773249017-Glacier-3000-canton-of-Vaud-Switzerland.jpg
Italy with Capri Island,NA,Italy,CUSTOMIZED HOLIDAYS,9,"?145,235.00",https://img.veenaworld.com/customized-holidays/world/europe/shit2/shit2-thb.jpg
Ningaloo Reef & Coral Bay Self Drive,NA,Australia,CUSTOMIZED HOLIDAYS,5,"?146,088.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau39/shau39-thb1-shau39-2782024.jpg
Swiss Italy,NA,Switzerland,CUSTOMIZED HOLIDAYS,9,"?148,983.00",https://img.veenaworld.com/customized-holidays/world/europe/sheu37/thb-SHEU37-1682022.jpg
Perth with Pink lake & Margaret River self-drive,NA,Australia,CUSTOMIZED HOLIDAYS,9,"?153,715.00",https://img.veenaworld.com/customized-holidays/world/australia-new-zealand/shau40/shau40-thb-shau40-2092024.jpg
